Rank,Team,Age,"W
▼",L,ORtg,DRtg,Pace,FTr,3PAr,TS%,TOV%,ORB%,FT/FGA,,Year,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,
18,Los Angeles Clippers,27,42,40,110.3,110.2,0.1,98.7,0.299,0.314,0.527,13.2,23.5,0.222,2017,0.52,12.6,76.1,0.203,,STAPLES Center,"697,812","17,020"
19,Detroit Pistons,25.9,39,43,107.2,107.3,-0.1,96.2,0.227,0.333,0.512,12.3,22.7,0.169,2017,0.524,13.7,78.5,0.172,,Little Caesars Arena,"713,945","17,413"
20,Charlotte Hornets,26.6,36,46,109.4,109.1,0.3,98.4,0.312,0.314,0.508,11.4,22.2,0.233,2017,0.532,12.4,80.7,0.165,,Spectrum Center,"671,404","16,376"
21,Los Angeles Lakers,23.7,35,47,106.5,108,-1.5,100.3,0.264,0.329,0.517,13.8,23.6,0.188,2017,0.514,12.5,77.7,0.19,,STAPLES Center,"776,327","18,935"
22,New York Knicks,26.3,29,53,107.1,110.7,-3.6,96.8,0.216,0.266,0.51,13.3,24.1,0.17,2017,0.522,12.1,76.7,0.208,,Madison Square Garden (IV),"792,608","19,332"
23,Brooklyn Nets,25.1,28,54,106.9,110.6,-3.7,98.9,0.26,0.411,0.514,13.6,21,0.201,2017,0.517,11,77,0.201,,Barclays Center,"640,010","15,376"
24,Chicago Bulls,24.4,27,55,103.8,110.9,-7.1,98.3,0.216,0.35,0.497,12.6,20.6,0.164,2017,0.542,12.4,80.6,0.184,,United Center,"851,824","20,776"
25,Sacramento Kings,26.4,27,55,103.7,111.1,-7.4,94.9,0.194,0.278,0.502,12.8,21.5,0.143,2017,0.542,13.5,77.6,0.199,,Golden 1 Center,"714,680","17,431"
26,Orlando Magic,25.6,25,57,105.2,110.1,-4.9,98.1,0.238,0.342,0.512,13.3,20,0.18,2017,0.525,12.8,75.6,0.187,,Amway Center,"734,531","17,915"
27,Dallas Mavericks,27.7,24,58,106.3,109.5,-3.2,95.6,0.217,0.382,0.513,11.5,18,0.166,2017,0.532,12.8,78.9,0.193,,American Airlines Center,"811,453","19,792"
28,Atlanta Hawks,25.4,24,58,105,110.6,-5.6,98.3,0.236,0.363,0.512,14.1,21.1,0.185,2017,0.536,13.6,76.2,0.183,,Philips Arena,"590,769","14,409"
29,Memphis Grizzlies,26,22,60,104.5,111,-6.5,94.9,0.255,0.317,0.5,14,22.4,0.201,2017,0.529,13.8,76.5,0.256,,FedEx Forum,"653,863","15,948"
30,Phoenix Suns,23.7,21,61,103.5,112.9,-9.4,100.3,0.275,0.32,0.495,13.9,22.5,0.203,2017,0.533,11.9,76.5,0.212,,Talking Stick Resort Arena,"690,576","16,843"
1,Golden State Warriors*,28.2,67,15,115.6,104,11.6,99.8,0.259,0.359,0.563,13.2,22.8,0.204,2016,0.486,13.5,74.9,0.198,,Oracle Arena,"803,436","19,596"
2,San Antonio Spurs*,29.6,61,21,111.1,103.5,7.6,94.2,0.263,0.281,0.524,12.6,24,0.21,2016,0.492,13.5,77.6,0.192,,AT&T Center,"755,347","18,423"
3,Houston Rockets*,27.4,55,27,114.7,109,5.7,100,0.304,0.462,0.545,13.3,24.6,0.233,2016,0.519,13.2,75.8,0.194,,Toyota Center,"695,903","16,973"
4,Boston Celtics*,25.9,53,29,111.2,108.4,2.8,96.8,0.273,0.393,0.525,12.2,21.2,0.22,2016,0.503,12.6,75.3,0.223,,TD Garden,"760,690","18,553"
5,Toronto Raptors*,26.1,51,31,112.3,107.8,4.5,94.7,0.293,0.289,0.517,11.8,25,0.233,2016,0.507,13.5,76.3,0.223,,Air Canada Centre,"813,050","19,830"
6,Los Angeles Clippers*,30,51,31,112.7,108.2,4.5,96.1,0.312,0.329,0.537,12,21.5,0.233,2016,0.506,12.1,76.9,0.211,,STAPLES Center,"782,609","19,088"
7,Utah Jazz*,26.8,51,31,109.6,105.3,4.3,91.6,0.288,0.327,0.526,13.2,23.2,0.215,2016,0.493,11.8,78.9,0.195,,Vivint Smart Home Arena,"806,142","19,662"
8,Cleveland Cavaliers*,29.2,51,31,113.6,110.3,3.3,96.2,0.275,0.399,0.547,12.6,21.9,0.206,2016,0.516,11.4,75.8,0.174,,Quicken Loans Arena,"843,042","20,562"
9,Washington Wizards*,26,49,33,111.2,109.3,1.9,97.4,0.254,0.284,0.528,12.8,24.1,0.199,2016,0.524,13.8,75.5,0.213,,Verizon Center,"697,107","17,003"
10,Oklahoma City Thunder*,24.7,47,35,108.3,107.5,0.8,97.8,0.295,0.295,0.5,13.2,27.9,0.22,2016,0.511,12.5,79,0.218,,Chesapeake Energy Arena,"746,323","18,203"
11,Memphis Grizzlies*,29.5,43,39,107.7,107.1,0.6,92.3,0.28,0.316,0.491,12.1,24.8,0.219,2016,0.506,13.6,77.5,0.256,,FedEx Forum,"677,314","16,520"
12,Atlanta Hawks*,27.9,43,39,104.9,105.7,-0.8,97.4,0.295,0.309,0.504,14.2,23.6,0.215,2016,0.507,13.8,76.1,0.179,,Philips Arena,"654,306","15,959"
13,Indiana Pacers*,27,42,40,108.6,108.8,-0.2,95.9,0.261,0.272,0.516,12.8,21.2,0.212,2016,0.512,13.6,75.5,0.225,,Bankers Life Fieldhouse,"684,578","16,697"
14,Milwaukee Bucks*,25.6,42,40,109.1,109.3,-0.2,94.5,0.274,0.29,0.527,13.2,21.5,0.21,2016,0.518,13.6,75.4,0.215,,BMO Harris Bradley Center,"648,952","15,828"
15,Miami Heat,26.5,41,41,107.8,106.7,1.1,95.2,0.251,0.314,0.512,12.4,24.2,0.177,2016,0.496,12.6,76.4,0.22,,AmericanAirlines Arena,"805,400","19,644"
16,Chicago Bulls*,26.9,41,41,107.4,107,0.4,95.3,0.259,0.256,0.487,12.3,27,0.206,2016,0.507,12.4,76.8,0.169,,United Center,"888,882","21,680"
17,Portland Trail Blazers*,24.8,41,41,110.3,110.8,-0.5,96.7,0.275,0.322,0.52,12.5,23,0.214,2016,0.508,11.6,76.8,0.241,,Moda Center,"792,029","19,318"
18,Denver Nuggets,25.2,40,42,113.2,112.7,0.5,98.3,0.276,0.329,0.53,13.2,27.3,0.214,2016,0.532,10.9,78.7,0.194,,Pepsi Center,"605,585","14,672"
19,Detroit Pistons,25.4,37,45,106,107.1,-1.1,95,0.218,0.263,0.492,10.9,24.1,0.157,2016,0.516,12.1,81.2,0.197,,The Palace of Auburn Hills,"655,141","15,979"
20,Charlotte Hornets,26.5,36,46,108.8,108.6,0.2,95.7,0.279,0.335,0.501,10.7,19.9,0.227,2016,0.523,12.1,79.6,0.164,,Spectrum Center,"710,643","17,333"
21,New Orleans Pelicans,25.7,34,48,105.2,107.4,-2.2,98,0.256,0.308,0.504,11.7,18.5,0.192,2016,0.509,12.4,76.8,0.177,,Smoothie King Center,"663,099","16,173"
22,Dallas Mavericks,27.6,33,49,105.6,108.8,-3.2,92.2,0.225,0.366,0.505,11.6,18.1,0.18,2016,0.529,14.4,77.6,0.218,,American Airlines Center,"811,366","19,789"
23,Sacramento Kings,27.9,32,50,107.3,111.3,-4,94.9,0.284,0.291,0.516,13.7,21,0.22,2016,0.528,12.9,76.3,0.227,,Golden 1 Center,"721,928","17,608"
24,Minnesota Timberwolves,24,31,51,110.8,112,-1.2,94.6,0.287,0.249,0.511,12.9,27.2,0.229,2016,0.535,13.2,75.9,0.212,,Target Center,"607,203","14,810"
25,New York Knicks,27.3,31,51,107.7,111.5,-3.8,96,0.239,0.279,0.496,12.4,26.6,0.188,2016,0.511,11.7,74.1,0.214,,Madison Square Garden (IV),"810,741","19,774"
26,Orlando Magic,25.3,29,53,103.7,110.5,-6.8,96.8,0.246,0.3,0.489,12.1,21.6,0.184,2016,0.523,11.9,77.4,0.201,,Amway Center,"727,875","17,753"
27,Philadelphia 76ers,24.6,28,54,103.2,108.9,-5.7,98.5,0.258,0.349,0.501,14.9,22.4,0.199,2016,0.512,13.5,75.3,0.234,,Wells Fargo Center,"710,557","17,331"
28,Los Angeles Lakers,25.1,26,56,106,113,-7,98.5,0.259,0.295,0.501,13.5,25,0.195,2016,0.542,13,75.8,0.213,,STAPLES Center,"776,917","18,949"
29,Phoenix Suns,25,24,58,106.6,112.2,-5.6,100.3,0.297,0.255,0.493,13.4,26,0.231,2016,0.525,13.1,76.4,0.264,,Talking Stick Resort Arena,"708,639","17,134"
30,Brooklyn Nets,26,20,62,104.1,110.7,-6.6,101.3,0.289,0.371,0.507,14.7,19.6,0.228,2016,0.513,11.6,76.1,0.212,,Barclays Center,"632,608","15,429"
1,Golden State Warriors*,27.4,73,9,114.5,103.8,10.7,99.3,0.25,0.362,0.563,13.5,23.5,0.191,2015,0.479,12.6,76,0.208,,Oracle Arena,"803,436","19,596"
2,San Antonio Spurs*,30.3,67,15,110.3,99,11.3,93.8,0.246,0.223,0.526,12.4,23,0.197,2015,0.477,14.1,79.1,0.182,,AT&T Center,"756,445","18,450"
3,Cleveland Cavaliers*,28.1,57,25,110.9,104.5,6.4,93.3,0.259,0.352,0.524,12.7,25.1,0.194,2015,0.496,12.6,78.5,0.205,,Quicken Loans Arena,"843,042","20,562"
4,Toronto Raptors*,26.3,56,26,110,105.2,4.8,92.9,0.328,0.287,0.504,12.3,24.6,0.255,2015,0.498,12.7,77.7,0.201,,Air Canada Centre,"812,863","19,826"
5,Oklahoma City Thunder*,25.8,55,27,113.1,105.6,7.5,96.7,0.292,0.275,0.524,14,31.1,0.228,2015,0.484,11.7,76,0.205,,Chesapeake Energy Arena,"746,323","18,203"
6,Los Angeles Clippers*,29.7,53,29,108.3,103.8,4.5,95.8,0.318,0.324,0.524,12.1,20.1,0.22,2015,0.48,13.8,73.8,0.222,,STAPLES Center,"786,910","19,193"
7,Atlanta Hawks*,28.2,48,34,105.1,101.4,3.7,97.1,0.237,0.336,0.516,13.8,19.1,0.185,2015,0.48,14.4,74.6,0.194,,Philips Arena,"690,150","16,833"
8,Boston Celtics*,25.2,48,34,106.8,103.6,3.2,98.5,0.264,0.293,0.488,12.1,25.1,0.208,2015,0.487,14.6,74.6,0.231,,TD Garden,"749,076","18,270"
9,Charlotte Hornets*,26,48,34,107.2,104.3,2.9,95.6,0.28,0.348,0.502,11.7,20,0.222,2015,0.496,12.5,79.8,0.191,,Time Warner Cable Arena,"716,894","17,485"
10,Miami Heat*,28.4,48,34,106.1,104.4,1.7,93.6,0.282,0.221,0.508,13.3,23.8,0.21,2015,0.485,12.1,77.8,0.196,,AmericanAirlines Arena,"809,350","19,740"
11,Indiana Pacers*,26.9,45,37,104.6,102.9,1.7,96.6,0.268,0.27,0.497,13.5,23.4,0.205,2015,0.489,14.3,76,0.205,,Bankers Life Fieldhouse,"690,733","16,847"
12,Portland Trail Blazers*,24.3,44,38,108.8,108,0.8,96,0.268,0.332,0.511,13.2,25.9,0.202,2015,0.503,12.1,76.2,0.225,,Moda Center,"794,085","19,368"
13,Detroit Pistons*,25,44,38,106.1,105.5,0.6,95.1,0.296,0.303,0.491,12.2,27,0.197,2015,0.504,12.5,79.3,0.196,,The Palace of Auburn Hills,"677,138","16,516"
14,Dallas Mavericks*,30.3,42,40,106.7,107,-0.3,94.3,0.265,0.339,0.502,12,20.6,0.211,2015,0.504,12.8,76.2,0.198,,American Airlines Center,"825,901","20,144"
15,Chicago Bulls,27.6,42,40,105,106.5,-1.5,95.7,0.24,0.244,0.487,12.6,24.5,0.189,2015,0.485,10.7,74.9,0.182,,United Center,"894,659","21,821"
16,Memphis Grizzlies*,30.5,42,40,105.4,107.8,-2.4,93.3,0.295,0.222,0.477,12.3,25.3,0.231,2015,0.518,15.2,75.1,0.251,,FedEx Forum,"701,894","17,119"
17,Houston Rockets*,27.8,41,41,108.3,108.1,0.2,97.6,0.352,0.37,0.516,14.2,25.7,0.244,2015,0.516,14.8,72.8,0.219,,Toyota Center,"737,244","17,982"
18,Washington Wizards,27.3,41,41,105.3,105.8,-0.5,98.5,0.263,0.282,0.511,13.1,20.6,0.192,2015,0.515,14.6,77.7,0.218,,Verizon Center,"725,426","17,693"
19,Utah Jazz,24.2,40,42,105.9,103.9,2,91,0.286,0.297,0.501,14.2,25.9,0.213,2015,0.495,13.5,77.7,0.21,,Vivint Smart Home Arena,"791,489","19,305"
20,Orlando Magic,23.9,35,47,105.1,106.8,-1.7,96,0.232,0.255,0.5,12.8,23.1,0.175,2015,0.513,13.8,76.5,0.215,,Amway Center,"719,275","17,515"
21,Sacramento Kings,26.6,33,49,106,108.4,-2.4,100,0.295,0.26,0.51,14.2,23.9,0.214,2015,0.521,14,74.9,0.202,,Sleep Train Arena,"707,526","17,222"
22,Denver Nuggets,24.7,33,49,105.6,108.9,-3.3,95.7,0.282,0.277,0.489,13.2,25.8,0.216,2015,0.515,12.6,77.3,0.216,,Pepsi Center,"577,898","14,095"
23,Milwaukee Bucks,23.5,33,49,104.3,108.7,-4.4,94.2,0.276,0.189,0.499,14.2,24.9,0.207,2015,0.51,14.2,73.1,0.221,,BMO Harris Bradley Center,"621,808","15,166"
24,New York Knicks,27.2,32,50,104.6,107.6,-3,93.4,0.255,0.256,0.483,12.6,23.7,0.205,2015,0.487,10.5,75.8,0.204,,Madison Square Garden (IV),"812,292","19,812"
25,New Orleans Pelicans,26.6,30,52,105.6,109.5,-3.9,96.8,0.259,0.277,0.498,12.3,21.2,0.201,2015,0.523,12.7,78.8,0.225,,Smoothie King Center,"688,549","16,794"
26,Minnesota Timberwolves,24.6,29,53,106.5,110.1,-3.6,95.2,0.332,0.202,0.498,13.9,24.3,0.263,2015,0.524,13.6,74.7,0.2,,Target Center,"581,178","14,175"
27,Phoenix Suns,26,23,59,102.2,109,-6.8,98.5,0.271,0.302,0.487,15.2,25.4,0.204,2015,0.523,13.5,77.1,0.237,,Talking Stick Resort Arena,"701,405","17,107"
28,Brooklyn Nets,26.9,21,61,103.2,110.9,-7.7,95.2,0.246,0.218,0.492,13.6,24.1,0.186,2015,0.534,13.1,75.7,0.176,,Barclays Center,"620,142","15,125"
29,Los Angeles Lakers,26.5,17,65,101.6,111.6,-10,95.6,0.292,0.29,0.46,12.5,23.1,0.228,2015,0.523,11.6,74.7,0.202,,STAPLES Center,"778,877","18,997"
30,Philadelphia 76ers,23.3,10,72,98.8,109.2,-10.4,97.9,0.269,0.327,0.487,14.8,20.6,0.186,2015,0.51,13.5,74,0.24,,Wells Fargo Center,"614,650","14,991"
1,Golden State Warriors*,26.6,67,15,111.6,101.4,10.2,98.3,0.239,0.311,0.54,13.1,24.1,0.184,2014,0.47,14.3,74.5,0.217,,Oracle Arena,"803,436","19,596"
2,Atlanta Hawks*,27.8,60,22,108.9,103.1,5.8,93.9,0.259,0.321,0.527,13.5,21.4,0.201,2014,0.492,14.9,73.4,0.185,,Philips Arena,"713,909","17,412"
3,Los Angeles Clippers*,28.8,56,26,112.4,105.5,6.9,94.7,0.303,0.322,0.533,11.6,22.8,0.215,2014,0.493,13.2,75.7,0.231,,STAPLES Center,"785,892","19,168"
4,Houston Rockets*,27.6,56,26,107,103.4,3.6,96.5,0.312,0.392,0.512,15,26.8,0.223,2014,0.486,14.6,72.9,0.208,,Toyota Center,"747,412","18,230"
5,San Antonio Spurs*,29.8,55,27,108.5,102,6.5,93.8,0.256,0.269,0.517,13.1,23.4,0.2,2014,0.484,13.3,77.3,0.19,,AT&T Center,"762,855","18,606"
6,Memphis Grizzlies*,29.6,55,27,105.7,102.2,3.5,92,0.276,0.184,0.489,12.6,24.7,0.214,2014,0.492,14.5,75.3,0.183,,FedEx Forum,"710,502","17,329"
7,Cleveland Cavaliers*,26.9,53,29,111.1,106.3,4.8,92.3,0.287,0.334,0.52,13.4,26.8,0.216,2014,0.502,12.6,74.7,0.177,,Quicken Loans Arena,"843,042","20,562"
8,Portland Trail Blazers*,27,51,31,108.2,103.7,4.5,94.2,0.225,0.316,0.508,12.6,24.2,0.18,2014,0.476,11.3,76.2,0.182,,Moda Center,"798,368","19,472"
9,Chicago Bulls*,28.8,50,32,107.5,104.3,3.2,92.8,0.304,0.269,0.489,12.9,27,0.238,2014,0.473,11.3,74.4,0.182,,United Center,"886,612","21,625"
10,Dallas Mavericks*,29.9,50,32,109.5,106.4,3.1,95.2,0.262,0.296,0.515,11.9,23.6,0.197,2014,0.503,14.7,72.2,0.204,,American Airlines Center,"827,702","20,188"
11,Toronto Raptors*,26.1,49,33,111,107.7,3.3,92.8,0.295,0.302,0.508,12,25.6,0.232,2014,0.506,13.4,73.3,0.208,,Air Canada Centre,"809,824","19,752"
12,Washington Wizards*,28.6,46,36,103.7,103,0.7,93.7,0.259,0.203,0.499,14,24.9,0.192,2014,0.481,12.9,77.3,0.21,,Verizon Center,"747,796","18,239"
13,Oklahoma City Thunder,25.4,45,37,107.8,105.5,2.3,95.7,0.284,0.262,0.492,13.1,28.9,0.214,2014,0.489,12.4,75.6,0.213,,Chesapeake Energy Arena,"746,323","18,203"
14,New Orleans Pelicans*,25.3,45,37,108.2,107.3,0.9,91.4,0.263,0.233,0.501,12.5,27.1,0.198,2014,0.496,11.7,75.1,0.195,,Smoothie King Center,"683,757","16,677"
15,Milwaukee Bucks*,24.6,41,41,102.7,102.2,0.5,94.1,0.258,0.223,0.499,15.5,25.4,0.195,2014,0.487,15.9,73.3,0.221,,BMO Harris Bradley Center,"593,910","14,813"
16,Boston Celtics*,25,40,42,104.7,104.5,0.2,95.8,0.233,0.28,0.489,12.5,24.7,0.176,2014,0.494,13.7,75,0.208,,TD Garden,"721,350","17,594"
17,Phoenix Suns,25.7,39,43,105.3,106.2,-0.9,96.3,0.251,0.291,0.501,13.7,24.5,0.191,2014,0.497,14,73.5,0.221,,US Airways Center,"693,862","16,923"
18,Indiana Pacers,28.3,38,44,103.5,103.2,0.3,93.2,0.266,0.255,0.484,13.1,24,0.201,2014,0.478,12,77.9,0.217,,Bankers Life Fieldhouse,"691,434","16,864"
19,Utah Jazz,23.4,38,44,105.1,104.9,0.2,90.4,0.297,0.274,0.494,14.6,29.1,0.214,2014,0.491,12.8,76.3,0.199,,EnergySolutions Arena,"772,059","18,831"
20,Brooklyn Nets*,28.6,38,44,104.4,107.4,-3,92.7,0.267,0.24,0.491,13,23.9,0.2,2014,0.506,12.9,73.7,0.185,,Barclays Center,"698,529","17,037"
21,Miami Heat,28.5,37,45,103.9,106.7,-2.8,90.9,0.306,0.262,0.5,14.5,23.2,0.227,2014,0.505,14.2,73.4,0.213,,AmericanAirlines Arena,"808,223","19,713"
22,Charlotte Hornets,26,33,49,100.1,103.5,-3.4,93,0.269,0.226,0.456,11.2,22.1,0.202,2014,0.487,12,79.3,0.188,,Time Warner Cable Arena,"704,886","17,192"
23,Detroit Pistons,25.9,32,50,105.3,106.4,-1.1,92.8,0.261,0.29,0.482,12.3,27.7,0.184,2014,0.502,13.2,75,0.192,,The Palace of Auburn Hills,"625,917","15,266"
24,Denver Nuggets,26.4,30,52,104.5,108.2,-3.7,96.1,0.278,0.284,0.479,12.7,26.6,0.204,2014,0.504,13,74.7,0.239,,Pepsi Center,"602,707","14,700"
25,Sacramento Kings,26,29,53,105.3,109.2,-3.9,95.4,0.363,0.204,0.49,14.8,26.5,0.276,2014,0.507,11.8,75.2,0.2,,Sleep Train Arena,"680,049","16,587"
26,Orlando Magic,24.3,25,57,101.6,107.7,-6.1,93.8,0.23,0.235,0.494,14,23.1,0.168,2014,0.514,13.6,76,0.21,,Amway Center,"688,194","16,785"
27,Los Angeles Lakers,27,21,61,103.4,110.6,-7.2,94,0.276,0.22,0.473,12.1,25.4,0.204,2014,0.518,12.1,76.3,0.231,,STAPLES Center,"768,244","18,738"
28,Philadelphia 76ers,23.2,18,64,95.5,104.8,-9.3,95.7,0.288,0.319,0.459,16,25.5,0.195,2014,0.497,15.2,73,0.225,,Wells Fargo Center,"571,572","13,941"
29,New York Knicks,26.9,17,65,99.9,110,-10.1,91.2,0.234,0.24,0.47,14,24.5,0.18,2014,0.512,13.3,73.1,0.234,,Madison Square Garden (IV),"812,292","19,812"
30,Minnesota Timberwolves,24.4,16,66,102.9,112.2,-9.3,94.4,0.309,0.179,0.468,13.7,26.6,0.24,2014,0.537,13.9,71.6,0.187,,Target Center,"595,652","14,416"
1,San Antonio Spurs*,28.9,62,20,110.5,102.4,8.1,95,0.24,0.257,0.537,13.5,22.7,0.188,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
2,Oklahoma City Thunder*,26.2,59,23,110.5,103.9,6.6,95.4,0.303,0.271,0.52,14,26.5,0.244,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
3,Los Angeles Clippers*,28.1,57,25,112.1,104.8,7.3,95.9,0.353,0.291,0.526,12.7,25,0.258,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
4,Indiana Pacers*,27.2,56,26,104.1,99.3,4.8,92.5,0.29,0.235,0.49,14.3,24.9,0.226,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
5,Miami Heat*,30.6,54,28,110.9,105.8,5.1,91.2,0.3,0.292,0.554,14.6,20.6,0.228,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
6,Houston Rockets*,25.4,54,28,111,106.3,4.7,96.3,0.386,0.33,0.531,14.6,27.4,0.275,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
7,Portland Trail Blazers*,25.8,54,28,111.5,107.4,4.1,94.9,0.27,0.29,0.504,12.4,28,0.22,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
8,Golden State Warriors*,26.3,51,31,107.5,102.6,4.9,96.2,0.247,0.291,0.517,13.8,25.1,0.186,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
9,Memphis Grizzlies*,28.5,50,32,106.3,104.6,1.7,89.9,0.248,0.171,0.494,13.1,28.3,0.184,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
10,Dallas Mavericks*,30.6,49,33,111.2,108.7,2.5,93.5,0.253,0.274,0.526,12.7,24.6,0.201,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
11,Toronto Raptors*,25.6,48,34,108.8,105.3,3.5,91.8,0.306,0.285,0.498,13.2,27.2,0.239,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
12,Phoenix Suns,26.2,48,34,109.5,106.7,2.8,95.8,0.293,0.3,0.519,14,26.4,0.222,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
13,Chicago Bulls*,28.6,48,34,102.5,100.5,2,90.2,0.29,0.222,0.471,14.2,27.2,0.226,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
14,Washington Wizards*,26.3,44,38,106,104.6,1.4,93.2,0.248,0.246,0.506,13.6,25.2,0.181,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
15,Brooklyn Nets*,30,44,38,106.7,107.7,-1,91.4,0.313,0.301,0.514,14.1,21.7,0.236,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
16,Charlotte Bobcats*,25.5,43,39,103.6,103.8,-0.2,92.4,0.297,0.219,0.481,11.7,21.9,0.219,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
17,Minnesota Timberwolves,26.3,40,42,108.9,106.2,2.7,97.3,0.321,0.245,0.486,12.2,27.4,0.249,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
18,Atlanta Hawks*,27.5,38,44,105.9,106.4,-0.5,94.6,0.266,0.316,0.515,14.3,21,0.208,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
19,New York Knicks,28.3,37,45,108.3,109.1,-0.8,90.3,0.248,0.302,0.505,12.5,25.1,0.189,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
20,Denver Nuggets,26,36,46,106,108.2,-2.2,98.1,0.306,0.278,0.497,14,27.5,0.222,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
21,New Orleans Pelicans,24.3,34,48,107.2,110.1,-2.9,92.2,0.286,0.193,0.495,12.9,26.9,0.22,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
22,Cleveland Cavaliers,24.9,33,49,104.2,107.7,-3.5,93.1,0.268,0.236,0.479,13,27.2,0.201,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
23,Detroit Pistons,24.7,29,53,105.9,109.7,-3.8,94.9,0.296,0.222,0.482,12.9,31.4,0.199,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
24,Sacramento Kings,24.9,28,54,105.7,108.8,-3.1,94.4,0.331,0.218,0.484,13.9,27.8,0.251,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
25,Los Angeles Lakers,26.8,27,55,104.2,110.6,-6.4,98.7,0.263,0.291,0.505,13.7,20.2,0.199,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
26,Boston Celtics,25.4,25,57,102.9,107.7,-4.8,93.3,0.248,0.251,0.477,14.2,27.4,0.193,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
27,Utah Jazz,24.5,25,57,103.5,111.3,-7.8,91.4,0.271,0.237,0.484,13.9,25.5,0.202,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
28,Orlando Magic,24.6,23,59,101.7,107.4,-5.7,93.6,0.253,0.235,0.487,13.9,22.4,0.193,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
29,Philadelphia 76ers,23.4,19,63,99.4,109.9,-10.5,99.2,0.268,0.258,0.475,14.8,24.8,0.19,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
30,Milwaukee Bucks,24.7,15,67,103,111.8,-8.8,91.8,0.274,0.231,0.479,14.1,27.1,0.204,2013,0.482,12.8,76.4,0.184,,AT&T Center,"755,031","18,415"
1,Miami Heat*,30.3,66,16,112.3,103.7,8.6,90.7,0.297,0.285,0.552,13.7,22.2,0.224,2012,0.487,14.8,73,0.2,,AmericanAirlines Arena,"819,290","19,983"
2,Oklahoma City Thunder*,26,60,22,112.4,102.6,9.8,93.3,0.338,0.244,0.527,14.4,26.7,0.28,2012,0.469,13.5,73.4,0.197,,Chesapeake Energy Arena,"746,323","18,203"
3,San Antonio Spurs*,28.6,58,24,108.3,101.6,6.7,94.2,0.258,0.264,0.531,14,20.5,0.204,2012,0.48,13.7,74.9,0.179,,AT&T Center,"755,700","18,432"
4,Denver Nuggets*,26.1,57,25,110.4,105.1,5.3,95.1,0.308,0.217,0.515,13.6,31.4,0.216,2012,0.493,14.3,71.8,0.193,,Pepsi Center,"730,616","17,820"
5,Los Angeles Clippers*,28.8,56,26,110.6,103.6,7,91.1,0.286,0.265,0.526,13.9,28.8,0.203,2012,0.492,15.4,73.5,0.229,,STAPLES Center,"788,293","19,227"
6,Memphis Grizzlies*,27,56,26,104.9,100.3,4.6,88.4,0.261,0.166,0.472,13.3,31,0.202,2012,0.475,15.2,74.3,0.209,,FedEx Forum,"681,613","16,625"
7,New York Knicks*,30.2,54,28,111.1,106.3,4.8,89.8,0.258,0.354,0.515,11.7,25.6,0.196,2012,0.508,14.8,74.7,0.216,,Madison Square Garden (IV),"780,353","19,033"
8,Indiana Pacers*,25.7,49,32,104.3,99.8,4.5,90.2,0.293,0.245,0.479,14.3,30.3,0.219,2012,0.453,12.9,74.6,0.197,,Bankers Life Fieldhouse,"626,069","15,270"
9,Brooklyn Nets*,28.6,49,33,108.2,106.2,2,88.8,0.299,0.269,0.498,14,30.9,0.219,2012,0.503,13.1,73.7,0.174,,Barclays Center,"704,702","17,188"
